Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2023-10-25,OKC,@,CHI,W 124-104,*,25:07,4,7,.571,2,3,.667,2,4,.500,.714,1,3,.333,0,4,4,3,1,0,1,3,11,9.0,14
2,2,2,2023-10-27,OKC,@,CLE,W 108-105,*,30:50,5,9,.556,3,4,.750,2,5,.400,.722,3,4,.750,1,12,13,2,1,7,1,3,16,20.7,6
3,3,3,2023-10-29,OKC,,DEN,L 95-128,*,25:34,7,12,.583,1,4,.250,6,8,.750,.625,4,4,1.000,2,2,4,0,0,0,1,2,19,13.6,-23
4,4,4,2023-10-30,OKC,,DET,W 124-112,*,24:02,4,5,.800,4,5,.800,0,0,,1.200,2,2,1.000,0,4,4,3,2,4,3,5,14,15.2,9
5,5,5,2023-11-01,OKC,,NOP,L 106-110,*,37:16,8,14,.571,1,5,.200,7,9,.778,.607,2,2,1.000,3,8,11,3,1,2,5,4,19,14.8,-1
6,6,6,2023-11-03,OKC,,GSW,L 139-141,*,31:59,7,9,.778,2,2,1.000,5,7,.714,.889,8,8,1.000,3,5,8,5,1,1,2,4,24,25.7,-1
7,7,7,2023-11-06,OKC,,ATL,W 126-117,*,33:52,4,14,.286,1,3,.333,3,11,.273,.321,7,7,1.000,3,9,12,3,1,3,1,3,16,15.6,3
8,8,8,2023-11-08,OKC,,CLE,W 128-120,*,29:17,7,10,.700,1,1,1.000,6,9,.667,.750,0,0,,3,4,7,2,1,3,2,4,15,15.0,3
9,9,9,2023-11-10,OKC,@,SAC,L 98-105,*,29:36,5,12,.417,0,3,.000,5,9,.556,.417,2,3,.667,1,6,7,1,1,1,4,2,12,5.3,-13
10,10,10,2023-11-12,OKC,@,PHO,W 111-99,*,33:07,5,10,.500,3,6,.500,2,4,.500,.650,5,5,1.000,0,6,6,4,0,2,0,3,18,17.8,27
11,11,11,2023-11-14,OKC,,SAS,W 123-87,*,29:39,3,10,.300,1,5,.200,2,5,.400,.350,2,2,1.000,0,7,7,3,2,1,2,2,9,7.3,30
12,12,12,2023-11-16,OKC,@,GSW,W 128-109,*,27:06,4,7,.571,0,2,.000,4,5,.800,.571,5,5,1.000,1,9,10,2,0,2,4,2,13,11.1,-1
13,13,13,2023-11-18,OKC,@,GSW,W 130-123 (OT),*,36:57,14,22,.636,2,5,.400,12,17,.706,.682,6,7,.857,4,6,10,5,2,2,4,2,36,32.5,9
14,14,14,2023-11-19,OKC,@,POR,W 134-91,*,20:03,6,6,1.000,2,2,1.000,4,4,1.000,1.167,2,2,1.000,0,6,6,0,0,2,0,1,16,17.0,10
15,15,15,2023-11-22,OKC,,CHI,W 116-102,*,31:47,5,11,.455,0,3,.000,5,8,.625,.455,8,11,.727,5,8,13,2,1,4,2,3,18,19.0,18
16,16,16,2023-11-25,OKC,,PHI,L 123-127,*,31:31,13,21,.619,5,11,.455,8,10,.800,.738,2,2,1.000,1,5,6,2,0,3,1,3,33,27.0,4
17,17,17,2023-11-28,OKC,@,MIN,L 103-106,*,33:50,6,20,.300,3,8,.375,3,12,.250,.375,1,2,.500,2,6,8,6,1,1,0,2,16,12.3,-4
18,18,18,2023-11-30,OKC,,LAL,W 133-110,*,28:16,8,15,.533,1,6,.167,7,9,.778,.567,1,1,1.000,1,4,5,1,2,0,2,3,18,12.1,16
19,19,19,2023-12-02,OKC,@,DAL,W 126-120,*,30:19,4,10,.400,0,3,.000,4,7,.571,.400,3,4,.750,3,8,11,3,1,4,2,3,11,12.4,4
20,20,20,2023-12-06,OKC,@,HOU,L 101-110,*,25:59,2,9,.222,0,4,.000,2,5,.400,.222,0,0,,1,4,5,2,1,6,1,2,4,5.2,-16
21,21,21,2023-12-08,OKC,,GSW,W 138-136 (OT),*,34:35,6,12,.500,1,4,.250,5,8,.625,.542,8,8,1.000,2,5,7,1,0,3,3,4,21,16.1,-3
22,22,22,2023-12-11,OKC,,UTA,W 134-120,*,25:02,6,9,.667,2,3,.667,4,6,.667,.778,2,2,1.000,2,6,8,2,1,2,3,2,16,15.3,24
23,23,23,2023-12-14,OKC,@,SAC,L 123-128,*,30:02,6,12,.500,0,2,.000,6,10,.600,.500,2,2,1.000,2,9,11,1,0,3,1,4,14,12.3,-10
24,24,24,2023-12-16,OKC,@,DEN,W 118-117,*,32:21,6,12,.500,1,4,.250,5,8,.625,.542,4,6,.667,1,10,11,1,0,8,1,3,17,18.0,10
25,25,25,2023-12-18,OKC,,MEM,W 116-97,*,24:54,7,14,.500,2,4,.500,5,10,.500,.571,1,1,1.000,2,4,6,2,1,7,2,2,17,17.1,13
26,26,26,2023-12-21,OKC,,LAC,W 134-115,*,29:33,9,11,.818,2,3,.667,7,8,.875,.909,3,3,1.000,0,6,6,7,0,0,1,1,23,24.2,17
27,27,27,2023-12-23,OKC,,LAL,L 120-129,*,34:04,8,18,.444,1,6,.167,7,12,.583,.472,2,5,.400,4,6,10,0,1,3,0,1,19,15.7,-7
28,28,28,2023-12-26,OKC,,MIN,W 129-106,*,28:51,8,13,.615,3,6,.500,5,7,.714,.731,1,2,.500,0,4,4,5,0,1,1,4,20,16.5,17
29,29,29,2023-12-27,OKC,,NYK,W 129-120,*,30:08,9,14,.643,1,4,.250,8,10,.800,.679,3,4,.750,1,4,5,1,0,4,0,4,22,19.2,4
30,30,30,2023-12-29,OKC,@,DEN,W 119-93,*,28:27,9,14,.643,4,4,1.000,5,10,.500,.786,2,2,1.000,3,3,6,3,0,2,2,1,24,21.9,9
31,31,31,2023-12-31,OKC,,BRK,W 124-108,*,32:22,7,10,.700,3,5,.600,4,5,.800,.850,1,2,.500,0,10,10,3,0,2,3,3,18,15.7,16
32,32,32,2024-01-02,OKC,,BOS,W 127-123,*,32:43,5,9,.556,3,5,.600,2,4,.500,.722,1,2,.500,0,3,3,7,0,4,1,1,14,16.5,4
