Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,268,1,2023-10-25,MEM,,NOP,L 104-111,*,35:43,2,9,.222,0,5,.000,2,4,.500,.222,4,4,1.000,1,4,5,3,0,5,3,5,8,5.0,-1
2,269,2,2023-10-27,MEM,,DEN,L 104-108,*,28:27,9,13,.692,2,2,1.000,7,11,.636,.769,1,2,.500,2,7,9,2,0,3,0,5,21,20.1,-1
3,270,3,2023-10-28,MEM,@,WAS,L 106-113,*,31:08,4,12,.333,2,4,.500,2,8,.250,.417,6,6,1.000,0,5,5,2,1,1,1,4,16,11.2,5
4,271,4,2023-10-30,MEM,,DAL,L 110-125,*,33:55,10,20,.500,3,6,.500,7,14,.500,.575,7,9,.778,2,7,9,4,0,2,1,3,30,24.7,-25
5,272,5,2023-11-01,MEM,@,UTA,L 109-133,*,26:12,5,17,.294,1,8,.125,4,9,.444,.324,8,8,1.000,3,5,8,2,0,1,2,3,19,11.6,-25
6,273,6,2023-11-03,MEM,@,POR,L 113-115 (OT),*,37:42,11,17,.647,5,8,.625,6,9,.667,.794,3,6,.500,2,8,10,3,1,3,4,1,30,25.9,3
7,274,7,2023-11-05,MEM,@,POR,W 112-100,*,36:52,11,18,.611,1,4,.250,10,14,.714,.639,4,6,.667,3,4,7,2,1,1,2,1,27,22.0,11
8,275,8,2023-11-08,MEM,,MIA,L 102-108,*,33:02,9,18,.500,2,8,.250,7,10,.700,.556,8,10,.800,2,2,4,2,0,1,1,5,28,19.3,-5
9,276,9,2023-11-10,MEM,,UTA,L 121-127,*,23:21,7,13,.538,0,2,.000,7,11,.636,.538,0,0,,2,2,4,2,0,0,2,2,14,8.3,-11
10,277,10,2023-11-12,MEM,@,LAC,W 105-101,*,29:19,3,15,.200,0,3,.000,3,12,.250,.200,6,6,1.000,0,4,4,1,1,1,3,4,12,1.7,-3
11,278,11,2023-11-14,MEM,@,LAL,L 107-134,*,22:06,3,16,.188,2,6,.333,1,10,.100,.250,0,0,,2,0,2,2,0,1,1,2,8,-0.3,-16
12,279,12,2023-11-18,MEM,@,SAS,W 120-108,*,26:46,7,20,.350,2,8,.250,5,12,.417,.400,11,12,.917,3,2,5,0,1,1,2,3,27,16.6,10
13,280,13,2023-11-19,MEM,,BOS,L 100-102,*,34:07,5,12,.417,1,3,.333,4,9,.444,.458,6,7,.857,2,6,8,1,1,1,2,5,17,11.8,-1
14,281,14,2023-11-22,MEM,@,HOU,L 91-111,*,36:52,7,21,.333,0,4,.000,7,17,.412,.333,9,12,.750,1,6,7,0,1,1,2,4,23,10.5,-20
15,282,15,2023-11-24,MEM,,PHO,L 89-110,*,28:50,5,13,.385,1,4,.250,4,9,.444,.423,2,4,.500,4,3,7,2,1,0,3,5,13,6.2,-12
16,283,16,2023-11-26,MEM,,MIN,L 97-119,*,36:36,4,14,.286,2,6,.333,2,8,.250,.357,8,10,.800,0,4,4,3,1,3,2,3,18,12.2,-9
17,284,17,2023-11-29,MEM,,UTA,W 105-91,*,34:40,8,19,.421,0,3,.000,8,16,.500,.421,4,4,1.000,3,3,6,1,1,6,1,2,20,17.0,14
18,285,18,2023-12-01,MEM,@,DAL,W 108-94,*,13:34,2,8,.250,0,3,.000,2,5,.400,.250,0,0,,1,3,4,2,0,2,1,5,4,0.6,0
19,286,19,2023-12-02,MEM,@,PHO,L 109-116,*,35:27,13,21,.619,2,5,.400,11,16,.688,.667,9,10,.900,1,8,9,2,1,1,4,4,37,27.7,-7
20,287,20,2023-12-06,MEM,@,DET,W 116-102,*,35:00,10,20,.500,2,6,.333,8,14,.571,.550,2,3,.667,0,4,4,0,0,3,0,3,24,15.7,15
21,288,21,2023-12-08,MEM,,MIN,L 103-127,*,28:55,7,14,.500,3,4,.750,4,10,.400,.607,4,4,1.000,1,1,2,1,1,1,2,5,21,13.4,-19
22,289,22,2023-12-11,MEM,,DAL,L 113-120,*,41:51,15,29,.517,6,10,.600,9,19,.474,.621,5,5,1.000,0,4,4,2,2,2,2,3,41,29.5,-2
23,290,23,2023-12-13,MEM,@,HOU,L 104-117,*,39:59,15,24,.625,3,8,.375,12,16,.750,.688,11,13,.846,1,6,7,2,4,1,3,4,44,36.4,-1
24,291,24,2023-12-15,MEM,,HOU,L 96-103,*,32:38,8,23,.348,0,7,.000,8,16,.500,.348,6,7,.857,1,2,3,2,0,4,1,5,22,11.2,-6
25,292,25,2023-12-18,MEM,@,OKC,L 97-116,*,25:13,3,7,.429,1,4,.250,2,3,.667,.500,4,5,.800,0,5,5,1,1,0,2,3,11,6.9,-15
26,293,26,2023-12-19,MEM,@,NOP,W 115-113,*,29:38,6,10,.600,1,3,.333,5,7,.714,.650,11,15,.733,1,5,6,0,0,3,2,4,24,18.5,-2
27,294,27,2023-12-21,MEM,,IND,W 116-103,*,33:20,8,10,.800,2,4,.500,6,6,1.000,.900,3,3,1.000,2,6,8,1,1,0,7,4,21,13.5,-8
28,295,28,2023-12-23,MEM,@,ATL,W 125-119,*,23:52,8,10,.800,1,2,.500,7,8,.875,.850,3,4,.750,2,0,2,0,0,0,2,5,20,13.2,0
29,296,29,2023-12-26,MEM,@,NOP,W 116-115 (OT),*,39:28,5,11,.455,0,3,.000,5,8,.625,.455,9,10,.900,1,9,10,1,1,1,3,5,19,13.7,6
30,297,30,2023-12-28,MEM,@,DEN,L 105-142,*,27:49,5,15,.333,1,3,.333,4,12,.333,.367,3,4,.750,1,3,4,2,2,0,0,1,14,9.7,-11
31,298,31,2023-12-29,MEM,@,LAC,L 106-117,*,37:00,8,17,.471,4,6,.667,4,11,.364,.588,2,2,1.000,0,2,2,4,2,2,1,5,22,17.1,-11
32,299,32,2023-12-31,MEM,,SAC,L 92-123,*,28:32,6,14,.429,1,4,.250,5,10,.500,.464,5,6,.833,0,3,3,1,1,0,0,3,18,11.6,-13
33,300,33,2024-01-02,MEM,,SAS,W 106-98,*,32:01,3,14,.214,1,4,.250,2,10,.200,.250,3,4,.750,1,6,7,1,3,4,1,4,10,7.4,2
34,301,34,2024-01-03,MEM,,TOR,L 111-116,*,36:44,7,18,.389,4,8,.500,3,10,.300,.500,6,6,1.000,1,3,4,0,1,4,3,1,24,16.2,5
35,302,35,2024-01-05,MEM,@,LAL,W 127-113,*,29:30,11,14,.786,5,6,.833,6,8,.750,.964,4,4,1.000,0,9,9,1,0,3,3,5,31,26.1,1
36,303,36,2024-01-07,MEM,@,PHO,W 121-115,*,31:48,11,20,.550,3,8,.375,8,12,.667,.625,3,4,.750,1,9,10,6,0,1,2,5,28,22.3,25
