Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,464,1,2023-10-24,PHO,@,GSW,W 108-104,*,27:52,5,8,.625,1,2,.500,4,6,.667,.688,3,3,1.000,3,11,14,3,0,1,1,5,14,15.6,2
2,465,2,2023-10-26,PHO,@,LAL,L 95-100,*,28:02,1,5,.200,0,2,.000,1,3,.333,.200,2,2,1.000,3,6,9,3,3,0,4,5,4,3.9,-5
3,466,3,2023-10-28,PHO,,UTA,W 126-104,*,22:48,3,8,.375,0,2,.000,3,6,.500,.375,4,6,.667,2,5,7,6,2,1,2,3,10,11.4,15
4,467,4,2023-10-31,PHO,,SAS,L 114-115,*,30:02,4,10,.400,2,5,.400,2,5,.400,.500,2,2,1.000,0,12,12,4,1,2,0,4,12,13.8,-8
5,468,5,2023-11-02,PHO,,SAS,L 121-132,*,18:34,2,5,.400,1,3,.333,1,2,.500,.500,2,2,1.000,1,2,3,2,1,0,2,3,7,4.8,-5
6,469,6,2023-11-04,PHO,@,PHI,L 100-112,*,22:47,4,14,.286,1,6,.167,3,8,.375,.321,2,4,.500,3,6,9,5,1,1,0,2,11,10.3,-3
7,470,7,2023-11-05,PHO,@,DET,W 120-106,*,27:41,1,4,.250,0,1,.000,1,3,.333,.250,4,6,.667,3,1,4,7,2,3,2,2,6,11.4,13
8,471,8,2023-11-08,PHO,@,CHI,W 116-115 (OT),*,38:03,8,16,.500,0,2,.000,8,14,.571,.500,4,6,.667,8,9,17,8,2,0,6,4,20,19.5,12
9,472,9,2023-11-10,PHO,,LAL,L 119-122,*,32:40,4,8,.500,2,3,.667,2,5,.400,.625,4,7,.571,3,6,9,7,1,0,2,3,14,15.4,5
10,473,10,2023-11-12,PHO,,OKC,L 99-111,*,25:31,1,6,.167,0,3,.000,1,3,.333,.167,1,2,.500,3,5,8,1,1,2,2,3,3,2.3,-15
11,474,11,2023-11-15,PHO,,MIN,W 133-115,*,24:02,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,,1,4,5,4,0,0,0,3,3,4.8,10
12,475,12,2023-11-17,PHO,@,UTA,W 131-128,*,23:02,4,7,.571,0,1,.000,4,6,.667,.571,7,7,1.000,2,5,7,4,1,0,4,4,15,12.8,-2
13,476,13,2023-11-19,PHO,@,UTA,W 140-137 (2OT),*,34:51,7,11,.636,0,0,,7,11,.636,.636,4,4,1.000,4,8,12,2,1,2,2,5,18,18.1,9
14,477,14,2023-11-21,PHO,,POR,W 120-107,*,29:13,7,11,.636,2,4,.500,5,7,.714,.727,2,2,1.000,6,6,12,0,1,4,3,4,18,18.3,17
15,478,15,2023-11-22,PHO,,GSW,W 123-115,*,17:16,4,8,.500,0,1,.000,4,7,.571,.500,1,2,.500,3,2,5,0,0,0,0,4,9,5.7,8
16,479,16,2023-11-24,PHO,@,MEM,W 110-89,*,32:32,2,5,.400,0,2,.000,2,3,.667,.400,2,4,.500,2,9,11,6,2,2,2,2,6,11.4,14
17,480,17,2023-11-26,PHO,@,NYK,W 116-113,*,32:53,4,9,.444,0,2,.000,4,7,.571,.444,0,0,,4,6,10,4,0,4,1,2,8,11.7,1
18,481,18,2023-11-29,PHO,@,TOR,L 105-112,*,29:44,8,12,.667,1,1,1.000,7,11,.636,.708,2,2,1.000,1,13,14,6,0,2,2,3,19,20.8,2
19,482,19,2023-12-01,PHO,,DEN,L 111-119,*,32:57,13,22,.591,2,6,.333,11,16,.688,.636,3,5,.600,3,3,6,2,0,2,6,6,31,17.4,3
20,483,20,2023-12-02,PHO,,MEM,W 116-109,*,26:29,6,18,.333,0,3,.000,6,15,.400,.333,2,2,1.000,3,6,9,3,2,1,3,6,14,7.1,10
21,484,21,2023-12-05,PHO,@,LAL,L 103-106,*,28:59,1,3,.333,0,0,,1,3,.333,.333,1,4,.250,0,8,8,4,1,0,2,4,3,2.7,12
22,485,22,2023-12-08,PHO,,SAC,L 106-114,*,29:47,6,13,.462,2,4,.500,4,9,.444,.538,1,4,.250,1,8,9,3,1,0,0,3,15,12.1,2
23,486,23,2023-12-12,PHO,,GSW,W 119-116,*,30:57,3,9,.333,1,3,.333,2,6,.333,.389,10,11,.909,3,10,13,7,1,0,1,3,17,20.3,10
24,487,24,2023-12-13,PHO,,BRK,L 112-116,*,31:15,7,15,.467,0,2,.000,7,13,.538,.467,1,2,.500,6,16,22,3,0,2,0,3,15,18.2,15
25,488,25,2023-12-15,PHO,,NYK,L 122-139,*,29:41,9,13,.692,1,2,.500,8,11,.727,.731,2,2,1.000,4,8,12,2,1,0,3,2,21,19.3,5
26,489,26,2023-12-17,PHO,,WAS,W 112-108,*,30:07,2,7,.286,0,1,.000,2,6,.333,.286,2,4,.500,3,14,17,5,1,1,2,5,6,8.6,-6
27,490,27,2023-12-19,PHO,@,POR,L 104-109,*,30:56,4,11,.364,0,2,.000,4,9,.444,.364,1,2,.500,5,8,13,3,2,2,4,3,9,8.7,-5
27,,28,2023-12-22,PHO,@,SAC,L 105-120,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,29,2023-12-25,PHO,,DAL,L 114-128,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,491,30,2023-12-27,PHO,@,HOU,W 129-113,*,14:04,3,6,.500,1,1,1.000,2,5,.400,.583,1,2,.500,1,9,10,0,0,2,3,4,8,4.8,2
29,492,31,2023-12-29,PHO,,CHO,W 133-119,*,28:25,10,13,.769,0,1,.000,10,12,.833,.769,4,4,1.000,3,12,15,1,0,2,3,1,24,23.3,9
30,493,32,2023-12-31,PHO,,ORL,W 112-107,*,33:06,8,17,.471,0,3,.000,8,14,.571,.471,3,5,.600,3,10,13,3,0,0,1,3,19,14.5,18
31,494,33,2024-01-01,PHO,,POR,W 109-88,*,25:08,6,8,.750,1,2,.500,5,6,.833,.813,5,6,.833,1,6,7,5,1,2,2,3,18,19.6,17
32,495,34,2024-01-03,PHO,,LAC,L 122-131,*,24:55,3,5,.600,0,1,.000,3,4,.750,.600,3,3,1.000,1,5,6,1,1,0,1,3,9,8.4,-15
33,496,35,2024-01-05,PHO,,MIA,W 113-97,*,26:18,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,8,9,2,1,0,0,2,6,7.7,21
34,497,36,2024-01-07,PHO,,MEM,L 115-121,*,32:20,8,17,.471,1,2,.500,7,15,.467,.500,1,3,.333,6,13,19,5,0,1,2,4,18,17.2,2
35,498,37,2024-01-08,PHO,@,LAC,L 111-138,*,21:22,3,8,.375,1,2,.500,2,6,.333,.438,1,2,.500,1,2,3,2,1,0,0,1,8,6.5,-14
36,499,38,2024-01-11,PHO,@,LAL,W 127-109,*,28:29,3,6,.500,0,0,,3,6,.500,.500,3,4,.750,4,8,12,2,1,0,2,2,9,10.4,29
37,500,39,2024-01-14,PHO,@,POR,W 127-116,*,27:15,5,8,.625,0,0,,5,8,.625,.625,4,6,.667,4,9,13,1,3,1,1,3,14,17.3,18
38,501,40,2024-01-16,PHO,,SAC,W 119-117,*,27:23,4,5,.800,0,0,,4,5,.800,.800,2,2,1.000,3,12,15,3,0,1,1,3,10,14.4,-8
39,502,41,2024-01-19,PHO,@,NOP,W 123-109,*,34:55,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,1,14,15,9,1,0,3,3,5,9.9,30
40,503,42,2024-01-21,PHO,,IND,W 117-110,*,18:54,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,13,13,4,0,1,6,6,4,2.4,11
41,504,43,2024-01-22,PHO,,CHI,W 115-113,*,25:34,4,7,.571,0,0,,4,7,.571,.571,0,0,,1,6,7,4,0,2,1,3,8,9.2,-15
42,505,44,2024-01-24,PHO,@,DAL,W 132-109,*,21:08,3,5,.600,0,1,.000,3,4,.750,.600,2,2,1.000,3,2,5,3,2,0,4,4,8,6.9,23
43,506,45,2024-01-26,PHO,@,IND,L 131-133,*,20:08,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,4,4,5,3,0,2,2,2,5.2,-3
43,,46,2024-01-28,PHO,@,ORL,L 98-113,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,507,47,2024-01-29,PHO,@,MIA,W 118-105,*,26:35,3,5,.600,0,1,.000,3,4,.750,.600,0,1,.000,0,8,8,2,2,0,1,6,6,5.7,-11
45,508,48,2024-01-31,PHO,@,BRK,W 136-120,*,29:47,11,15,.733,0,0,,11,15,.733,.733,6,9,.667,5,6,11,6,1,2,6,2,28,25.8,16
46,509,49,2024-02-02,PHO,@,ATL,L 120-129,*,23:10,7,9,.778,0,0,,7,9,.778,.778,0,1,.000,1,8,9,3,1,1,1,2,14,15.2,-3
47,510,50,2024-02-04,PHO,@,WAS,W 140-112,*,24:56,7,11,.636,0,1,.000,7,10,.700,.636,4,6,.667,4,9,13,8,1,0,1,3,18,22.2,20
48,511,51,2024-02-06,PHO,,MIL,W 114-106,*,32:16,5,9,.556,0,1,.000,5,8,.625,.556,0,1,.000,5,5,10,4,2,0,2,4,10,11.5,10
49,512,52,2024-02-08,PHO,,UTA,W 129-115,*,27:32,7,11,.636,0,2,.000,7,9,.778,.636,2,5,.400,1,7,8,3,1,0,2,5,16,11.8,8
50,513,53,2024-02-10,PHO,@,GSW,L 112-113,*,26:26,3,7,.429,0,1,.000,3,6,.500,.429,0,0,,1,5,6,4,0,1,2,3,6,4.8,-4
51,514,54,2024-02-13,PHO,,SAC,W 130-125,*,25:21,3,6,.500,0,0,,3,6,.500,.500,3,4,.750,2,7,9,2,2,2,1,3,9,11.7,5
52,515,55,2024-02-14,PHO,,DET,W 116-100,*,22:22,2,2,1.000,0,0,,2,2,1.000,1.000,6,10,.600,1,12,13,7,0,2,4,4,10,12.8,19
53,516,56,2024-02-22,PHO,@,DAL,L 113-123,*,19:33,2,6,.333,0,0,,2,6,.333,.333,1,2,.500,2,3,5,3,2,1,1,3,5,6.1,-2
53,,57,2024-02-23,PHO,@,HOU,L 110-114,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,517,58,2024-02-25,PHO,,LAL,W 123-113,*,37:04,7,12,.583,0,0,,7,12,.583,.583,4,5,.800,7,15,22,7,1,1,3,2,18,24.2,8
55,518,59,2024-02-29,PHO,,HOU,W 110-105,*,27:05,4,10,.400,0,1,.000,4,9,.444,.400,8,16,.500,5,8,13,2,1,3,7,6,16,8.4,6
56,519,60,2024-03-02,PHO,,HOU,L 109-118,*,17:04,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,1,9,10,5,1,1,1,1,7,11.5,1
57,520,61,2024-03-03,PHO,,OKC,L 110-118,*,32:21,7,16,.438,0,2,.000,7,14,.500,.438,0,0,,13,18,31,4,0,1,5,3,14,17.4,10
58,521,62,2024-03-05,PHO,@,DEN,W 117-107 (OT),*,29:54,3,4,.750,0,0,,3,4,.750,.750,1,2,.500,1,11,12,6,2,2,3,6,7,11.2,9
59,522,63,2024-03-07,PHO,,TOR,W 120-113,*,26:01,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,3,11,14,5,0,2,7,5,7,5.6,3
60,523,64,2024-03-09,PHO,,BOS,L 107-117,*,27:38,5,6,.833,0,0,,5,6,.833,.833,1,3,.333,5,6,11,4,1,1,3,2,11,14.0,5
61,524,65,2024-03-11,PHO,@,CLE,W 117-111,*,29:28,4,5,.800,0,0,,4,5,.800,.800,1,6,.167,3,5,8,0,0,1,3,4,9,4.8,-3
62,525,66,2024-03-14,PHO,@,BOS,L 112-127,*,30:47,4,9,.444,0,0,,4,9,.444,.444,0,2,.000,7,13,20,6,1,1,2,1,8,14.8,-5
63,526,67,2024-03-15,PHO,@,CHO,W 107-96,*,30:33,5,9,.556,0,0,,5,9,.556,.556,3,7,.429,5,16,21,2,0,1,2,5,13,13.5,1
64,527,68,2024-03-17,PHO,@,MIL,L 129-140,*,20:08,3,5,.600,0,0,,3,5,.600,.600,2,2,1.000,3,3,6,6,0,0,2,2,8,10.1,-17
65,528,69,2024-03-20,PHO,,PHI,W 115-102,*,31:19,5,10,.500,0,0,,5,10,.500,.500,0,0,,4,10,14,3,0,2,4,4,10,8.7,12
66,529,70,2024-03-21,PHO,,ATL,W 128-115,*,31:35,1,5,.200,0,0,,1,5,.200,.200,5,8,.625,3,7,10,2,1,0,2,3,7,6.1,-5
67,530,71,2024-03-23,PHO,@,SAS,W 131-106,*,21:49,3,7,.429,0,0,,3,7,.429,.429,0,0,,3,7,10,3,3,0,0,4,6,10.0,26
68,531,72,2024-03-25,PHO,@,SAS,L 102-104,*,19:20,3,9,.333,0,0,,3,9,.333,.333,0,2,.000,1,8,9,4,1,2,1,1,6,7.0,-2
68,,73,2024-03-27,PHO,@,DEN,W 104-97,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
69,532,74,2024-03-29,PHO,@,OKC,L 103-128,*,23:00,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,2,1,3,3,0,1,2,2,5,4.3,-22
70,533,75,2024-04-01,PHO,@,NOP,W 124-111,*,35:50,5,11,.455,1,2,.500,4,9,.444,.500,8,11,.727,8,11,19,4,1,2,1,5,19,23.2,19
71,534,76,2024-04-03,PHO,,CLE,W 122-101,*,31:40,0,4,.000,0,0,,0,4,.000,.000,2,2,1.000,4,6,10,6,2,0,2,2,2,7.2,8
72,535,77,2024-04-05,PHO,,MIN,W 97-87,*,26:07,5,11,.455,0,0,,5,11,.455,.455,1,3,.333,3,12,15,6,3,1,4,5,11,12.1,13
73,536,78,2024-04-07,PHO,,NOP,L 105-113,*,31:11,2,7,.286,0,0,,2,7,.286,.286,2,2,1.000,2,8,10,6,3,1,3,5,6,8.6,2
73,,79,2024-04-09,PHO,,LAC,L 92-105,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
74,537,80,2024-04-10,PHO,@,LAC,W 124-108,*,30:14,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,3,16,19,10,0,1,4,2,3,12.1,10
75,538,81,2024-04-12,PHO,@,SAC,W 108-107,*,31:43,3,5,.600,0,0,,3,5,.600,.600,4,5,.800,1,9,10,3,1,2,4,2,10,10.4,-1
76,539,82,2024-04-14,PHO,@,MIN,W 125-106,*,20:10,3,4,.750,0,1,.000,3,3,1.000,.750,0,0,,2,3,5,8,5,1,1,4,6,15.4,27
,,,,,,,48-28,76,2078,320,627,.510,22,90,.244,298,537,.555,.528,167,261,.640,224,613,837,301,81,80,175,254,829,11.7,404
