Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,495,1,2023-10-25,SAC,@,UTA,W 130-114,*,32:08,8,14,.571,1,2,.500,7,12,.583,.607,5,7,.714,6,6,12,5,1,2,3,3,22,22.3,5
2,496,2,2023-10-27,SAC,,GSW,L 114-122,*,35:49,7,15,.467,0,2,.000,7,13,.538,.467,5,6,.833,4,14,18,7,3,0,1,1,19,24.4,-9
3,497,3,2023-10-29,SAC,,LAL,W 132-127 (OT),*,34:00,5,8,.625,1,1,1.000,4,7,.571,.688,1,3,.333,1,14,15,5,1,0,3,6,12,11.6,5
4,498,4,2023-11-01,SAC,@,GSW,L 101-102,*,37:06,8,16,.500,0,1,.000,8,15,.533,.500,7,12,.583,3,8,11,8,0,0,2,2,23,20.3,-4
5,499,5,2023-11-04,SAC,@,HOU,L 89-107,*,30:42,5,10,.500,0,2,.000,5,8,.625,.500,1,4,.250,3,12,15,4,1,2,5,2,11,9.9,-26
6,500,6,2023-11-06,SAC,@,HOU,L 97-122,*,30:19,3,4,.750,0,0,,3,4,.750,.750,2,3,.667,3,5,8,5,0,0,4,4,8,7.5,-24
7,501,7,2023-11-08,SAC,,POR,W 121-118 (OT),*,39:39,11,14,.786,0,0,,11,14,.786,.786,5,7,.714,7,4,11,9,1,1,6,4,27,27.3,-5
8,502,8,2023-11-10,SAC,,OKC,W 105-98,*,38:12,7,15,.467,0,0,,7,15,.467,.467,3,6,.500,6,7,13,13,1,2,5,5,17,18.9,11
9,503,9,2023-11-13,SAC,,CLE,W 132-120,*,35:25,8,10,.800,1,2,.500,7,8,.875,.850,6,11,.545,0,9,9,10,0,2,3,4,23,23.7,6
10,504,10,2023-11-15,SAC,@,LAL,W 125-110,*,38:49,13,19,.684,1,1,1.000,12,18,.667,.711,2,2,1.000,5,11,16,7,3,1,4,3,29,31.1,20
11,505,11,2023-11-17,SAC,@,SAS,W 129-120,*,35:17,9,13,.692,2,3,.667,7,10,.700,.769,7,8,.875,2,12,14,7,0,1,4,5,27,25.7,6
12,506,12,2023-11-19,SAC,@,DAL,W 129-113,*,34:43,13,15,.867,0,2,.000,13,13,1.000,.867,6,10,.600,3,10,13,6,0,0,1,2,32,32.6,16
13,507,13,2023-11-20,SAC,@,NOP,L 93-129,*,30:40,4,8,.500,0,0,,4,8,.500,.500,2,3,.667,5,5,10,8,0,0,5,4,10,9.6,-36
14,508,14,2023-11-22,SAC,@,NOP,L 112-117,*,35:32,8,11,.727,0,0,,8,11,.727,.727,7,10,.700,2,7,9,6,0,1,3,3,23,21.5,12
15,509,15,2023-11-24,SAC,@,MIN,W 124-111,*,39:24,7,15,.467,1,1,1.000,6,14,.429,.500,0,1,.000,5,6,11,5,2,3,2,6,15,15.4,-7
