 
Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,682,1,2023-10-25,MIN,@,TOR,L 94-97,*,32:00,6,12,.500,0,0,,6,12,.500,.500,3,5,.600,5,8,13,1,2,4,2,3,15,16.4,-11
2,683,2,2023-10-28,MIN,,MIA,W 106-90,*,30:48,7,9,.778,0,0,,7,9,.778,.778,0,0,,4,10,14,1,1,0,2,1,14,15.6,14
3,684,3,2023-10-30,MIN,@,ATL,L 113-127,*,30:41,3,7,.429,0,0,,3,7,.429,.429,8,11,.727,6,7,13,1,1,2,0,2,14,17.7,-13
4,685,4,2023-11-01,MIN,,DEN,W 110-89,*,32:23,0,7,.000,0,0,,0,7,.000,.000,4,4,1.000,2,10,12,1,1,2,1,3,4,4.4,15
5,686,5,2023-11-04,MIN,,UTA,W 123-95,*,28:30,5,10,.500,0,0,,5,10,.500,.500,1,2,.500,4,6,10,1,0,4,1,3,11,11.5,10
6,687,6,2023-11-06,MIN,,BOS,W 114-109 (OT),*,40:45,6,6,1.000,0,0,,6,6,1.000,1.000,2,11,.182,2,10,12,1,0,1,2,4,14,10.8,24
7,688,7,2023-11-08,MIN,,NOP,W 122-101,*,32:16,4,5,.800,0,0,,4,5,.800,.800,9,12,.750,5,16,21,1,0,2,4,2,17,19.5,24
8,689,8,2023-11-10,MIN,@,SAS,W 117-110,*,33:44,5,10,.500,0,0,,5,10,.500,.500,1,1,1.000,4,6,10,1,1,0,1,3,11,10.1,1
9,690,9,2023-11-12,MIN,@,GSW,W 116-110,*,35:13,4,7,.571,0,0,,4,7,.571,.571,2,8,.250,4,6,10,3,1,5,2,3,10,12.3,-1
10,691,10,2023-11-14,MIN,@,GSW,W 104-101,*,35:13,2,8,.250,0,0,,2,8,.250,.250,5,6,.833,6,7,13,2,0,3,2,4,9,10.0,8
11,692,11,2023-11-15,MIN,@,PHO,L 115-133,*,24:52,2,5,.400,0,0,,2,5,.400,.400,0,0,,4,4,8,2,1,2,2,2,4,6.3,-25
12,693,12,2023-11-18,MIN,@,NOP,W 121-120,*,34:07,5,7,.714,0,0,,5,7,.714,.714,7,10,.700,2,9,11,1,2,1,1,2,17,18.6,-7
13,694,13,2023-11-20,MIN,,NYK,W 117-100,*,26:23,7,7,1.000,0,0,,7,7,1.000,1.000,2,7,.286,3,4,7,1,0,2,1,2,16,15.5,16
14,695,14,2023-11-22,MIN,,PHI,W 112-99,*,31:12,6,8,.750,0,0,,6,8,.750,.750,1,2,.500,3,8,11,3,0,3,2,3,13,14.9,1
15,696,15,2023-11-24,MIN,,SAC,L 111-124,*,35:30,5,8,.625,0,0,,5,8,.625,.625,2,2,1.000,3,8,11,0,0,2,3,5,12,9.3,4
16,697,16,2023-11-26,MIN,@,MEM,W 119-97,*,25:25,5,7,.714,0,0,,5,7,.714,.714,3,4,.750,1,3,4,0,0,2,2,5,13,8.7,16
17,698,17,2023-11-28,MIN,,OKC,W 106-103,*,36:12,6,10,.600,0,0,,6,10,.600,.600,5,6,.833,6,10,16,0,1,4,1,1,17,21.6,-1
18,699,18,2023-11-30,MIN,,UTA,W 101-90,*,37:28,6,11,.545,0,0,,6,11,.545,.545,3,4,.750,3,10,13,0,0,3,0,4,15,14.9,15
19,700,19,2023-12-02,MIN,@,CHO,W 123-117,*,39:18,10,12,.833,0,0,,10,12,.833,.833,6,9,.667,2,10,12,0,0,3,1,1,26,25.5,10
20,701,20,2023-12-06,MIN,,SAS,W 102-94,*,30:12,7,8,.875,0,0,,7,8,.875,.875,2,2,1.000,5,15,20,2,0,2,1,3,16,21.8,31
21,702,21,2023-12-08,MIN,@,MEM,W 127-103,*,35:48,6,9,.667,0,0,,6,9,.667,.667,4,4,1.000,9,11,20,1,1,6,2,4,16,24.0,25
22,703,22,2023-12-11,MIN,@,NOP,L 107-121,*,25:27,4,8,.500,0,0,,4,8,.500,.500,0,0,,2,6,8,0,0,2,2,4,8,5.0,-20
23,704,23,2023-12-14,MIN,@,DAL,W 119-101,*,29:56,3,4,.750,0,0,,3,4,.750,.750,2,6,.333,2,10,12,5,3,1,2,4,8,12.8,11
24,705,24,2023-12-16,MIN,,IND,W 127-109,*,25:10,2,3,.667,0,0,,2,3,.667,.667,1,4,.250,2,5,7,1,1,1,2,1,5,5.4,3
25,706,25,2023-12-18,MIN,@,MIA,W 112-108,*,35:17,3,8,.375,0,0,,3,8,.375,.375,3,4,.750,3,13,16,2,2,2,1,2,9,13.2,4
26,707,26,2023-12-20,MIN,@,PHI,L 113-127,*,24:12,3,4,.750,0,0,,3,4,.750,.750,2,2,1.000,2,7,9,1,2,0,0,4,8,11.0,6
