Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1,2023-10-25,SAS,,DAL,L 119-126,*,23:19,6,9,.667,3,5,.600,3,4,.750,.833,0,1,.000,0,5,5,2,2,1,5,5,15,9.3,0
2,2,2,2023-10-27,SAS,,HOU,W 126-122 (OT),*,30:59,7,19,.368,0,6,.000,7,13,.538,.368,7,8,.875,5,7,12,1,3,3,4,2,21,16.7,9
3,3,3,2023-10-29,SAS,@,LAC,L 83-123,*,26:16,4,10,.400,0,2,.000,4,8,.500,.400,3,6,.500,1,4,5,2,1,1,5,1,11,4.0,-14
4,4,4,2023-10-31,SAS,@,PHO,W 115-114,*,28:13,6,12,.500,2,6,.333,4,6,.667,.583,4,5,.800,3,5,8,1,0,4,5,3,18,12.5,-3
5,5,5,2023-11-02,SAS,@,PHO,W 132-121,*,34:21,15,26,.577,3,6,.500,12,20,.600,.635,5,6,.833,2,8,10,2,1,2,2,3,38,29.8,21
6,6,6,2023-11-05,SAS,,TOR,L 116-123 (OT),*,37:54,7,16,.438,2,7,.286,5,9,.556,.500,4,5,.800,2,7,9,4,1,5,2,1,20,19.6,-16
7,7,7,2023-11-06,SAS,@,IND,L 111-152,*,21:17,3,12,.250,2,5,.400,1,7,.143,.333,5,6,.833,1,9,10,0,1,2,2,1,13,8.8,-9
8,8,8,2023-11-08,SAS,@,NYK,L 105-126,*,30:11,4,14,.286,0,4,.000,4,10,.400,.286,6,6,1.000,4,5,9,2,0,1,3,2,14,8.4,-25
9,9,9,2023-11-10,SAS,,MIN,L 110-117,*,34:54,12,21,.571,3,7,.429,9,14,.643,.643,2,4,.500,1,8,9,4,1,4,3,5,29,23.0,3
10,10,10,2023-11-12,SAS,,MIA,L 113-118,*,34:24,8,22,.364,2,9,.222,6,13,.462,.409,0,0,,1,10,11,7,1,1,7,3,18,7.9,5
11,11,11,2023-11-14,SAS,@,OKC,L 87-123,*,28:20,4,15,.267,0,3,.000,4,12,.333,.267,0,0,,3,11,14,2,0,2,5,2,8,1.5,-31
12,12,12,2023-11-17,SAS,,SAC,L 120-129,*,30:28,12,26,.462,2,8,.250,10,18,.556,.500,1,1,1.000,1,8,9,0,2,0,4,3,27,13.5,-31
13,13,13,2023-11-18,SAS,,MEM,L 108-120,*,31:07,6,17,.353,2,6,.333,4,11,.364,.412,5,6,.833,4,9,13,4,1,8,2,5,19,20.0,-6
14,14,14,2023-11-20,SAS,,LAC,L 99-124,*,26:33,4,12,.333,0,4,.000,4,8,.500,.333,1,1,1.000,0,3,3,4,0,2,1,1,9,5.9,-17
15,15,15,2023-11-22,SAS,,LAC,L 102-109,*,32:47,7,13,.538,1,2,.500,6,11,.545,.577,7,7,1.000,2,13,15,3,1,3,2,2,22,23.4,-3
16,16,16,2023-11-24,SAS,@,GSW,L 112-118,*,35:09,8,18,.444,1,6,.167,7,12,.583,.472,5,5,1.000,2,7,9,4,1,2,6,2,22,14.5,2
17,17,17,2023-11-26,SAS,@,DEN,L 120-132,*,24:56,7,17,.412,2,5,.400,5,12,.417,.471,6,7,.857,4,7,11,2,6,4,3,4,22,23.0,-10
18,18,18,2023-11-30,SAS,,ATL,L 135-137,*,29:17,9,16,.563,1,5,.200,8,11,.727,.594,2,2,1.000,2,10,12,2,2,4,2,1,21,21.6,0
18,,19,2023-12-01,SAS,@,NOP,L 106-121,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,19,20,2023-12-06,SAS,@,MIN,L 94-102,*,32:25,4,13,.308,0,2,.000,4,11,.364,.308,4,6,.667,3,7,10,1,1,1,2,1,12,7.9,4
20,20,21,2023-12-08,SAS,,CHI,L 112-121,*,31:49,8,20,.400,0,4,.000,8,16,.500,.400,5,6,.833,7,13,20,4,1,4,1,2,21,23.4,-22
21,21,22,2023-12-11,SAS,@,HOU,L 82-93,*,33:00,7,15,.467,1,6,.167,6,9,.667,.500,0,1,.000,2,16,18,3,0,5,5,3,15,12.5,-12
22,22,23,2023-12-13,SAS,,LAL,L 119-122,*,32:30,11,21,.524,4,5,.800,7,16,.438,.619,4,7,.571,4,9,13,2,3,6,5,6,30,25.2,-5
23,23,24,2023-12-15,SAS,,LAL,W 129-115,*,30:50,5,13,.385,1,2,.500,4,11,.364,.423,2,3,.667,3,12,15,5,2,2,2,3,13,14.9,19
24,24,25,2023-12-17,SAS,,NOP,L 110-146,*,31:07,6,13,.462,2,6,.333,4,7,.571,.538,3,4,.750,1,12,13,4,1,4,3,2,17,17.0,-14
24,,26,2023-12-19,SAS,@,MIL,L 119-132,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,25,27,2023-12-21,SAS,@,CHI,L 95-114,*,22:13,3,8,.375,0,1,.000,3,7,.429,.375,1,3,.333,0,5,5,5,2,3,2,0,7,8.9,-7
25,,28,2023-12-23,SAS,@,DAL,L 119-144,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,26,29,2023-12-26,SAS,,UTA,L 118-130,*,24:26,6,15,.400,1,4,.250,5,11,.455,.433,2,3,.667,2,5,7,4,1,5,4,1,15,12.3,-9
27,27,30,2023-12-28,SAS,@,POR,W 118-105,*,24:21,9,14,.643,2,4,.500,7,10,.700,.714,10,10,1.000,0,6,6,6,0,7,1,0,30,33.7,18
27,,31,2023-12-29,SAS,@,POR,L 128-134,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,28,32,2023-12-31,SAS,,BOS,L 101-134,*,23:42,8,16,.500,3,8,.375,5,8,.625,.594,2,2,1.000,2,5,7,3,0,1,3,0,21,15.7,-23
29,29,33,2024-01-02,SAS,@,MEM,L 98-106,*,26:04,8,16,.500,2,5,.400,6,11,.545,.563,2,4,.500,0,7,7,1,0,4,1,0,20,15.8,-12
30,30,34,2024-01-04,SAS,,MIL,L 121-125,*,26:11,10,18,.556,2,8,.250,8,10,.800,.611,5,6,.833,3,6,9,1,1,5,5,5,27,20.1,-11
31,31,35,2024-01-07,SAS,@,CLE,L 115-117,*,24:37,6,13,.462,2,5,.400,4,8,.500,.538,10,11,.909,0,10,10,3,1,5,3,3,24,22.3,17
32,32,36,2024-01-10,SAS,@,DET,W 130-108,*,21:02,6,16,.375,0,4,.000,6,12,.500,.375,4,5,.800,3,9,12,10,0,0,0,1,16,18.2,15
33,33,37,2024-01-12,SAS,,CHO,W 135-99,*,19:41,9,14,.643,2,3,.667,7,11,.636,.714,6,6,1.000,3,8,11,1,0,2,3,2,26,22.6,22
33,,38,2024-01-13,SAS,,CHI,L 116-122,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,34,39,2024-01-15,SAS,@,ATL,L 99-109,*,27:05,12,18,.667,1,5,.200,11,13,.846,.694,1,1,1.000,2,11,13,2,2,5,3,2,26,26.0,-2
35,35,40,2024-01-17,SAS,@,BOS,L 98-117,*,26:36,10,19,.526,2,6,.333,8,13,.615,.579,5,6,.833,2,3,5,1,0,1,5,2,27,15.2,-14
35,,41,2024-01-19,SAS,@,CHO,L 120-124,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,36,42,2024-01-20,SAS,@,WAS,W 131-127,*,27:45,10,21,.476,2,5,.400,8,16,.500,.524,2,4,.500,1,7,8,4,0,6,6,3,24,15.1,4
37,37,43,2024-01-22,SAS,@,PHI,L 123-133,*,28:21,10,19,.526,2,5,.400,8,14,.571,.579,11,12,.917,3,4,7,2,0,2,1,5,33,26.4,0
38,38,44,2024-01-24,SAS,,OKC,L 114-140,*,27:46,9,18,.500,0,3,.000,9,15,.600,.500,6,8,.750,6,6,12,4,1,4,3,2,24,23.0,-11
39,39,45,2024-01-26,SAS,,POR,W 116-100,*,28:36,7,18,.389,3,7,.429,4,11,.364,.472,6,6,1.000,3,9,12,4,2,2,7,1,23,16.8,23
40,40,46,2024-01-27,SAS,,MIN,W 113-112,*,29:45,9,17,.529,3,6,.500,6,11,.545,.618,2,5,.400,0,10,10,6,2,2,6,3,23,16.9,19
41,41,47,2024-01-29,SAS,,WAS,L 113-118,*,30:46,9,19,.474,0,4,.000,9,15,.600,.474,4,4,1.000,3,8,11,4,1,3,4,1,22,18.3,-12
42,42,48,2024-01-31,SAS,,ORL,L 98-108,*,30:11,7,15,.467,2,5,.400,5,10,.500,.533,5,5,1.000,0,8,8,3,2,5,3,3,21,19.1,-8
43,43,49,2024-02-02,SAS,,NOP,L 113-114,*,28:25,7,14,.500,0,3,.000,7,11,.636,.500,2,2,1.000,5,9,14,7,2,3,6,2,16,17.4,-9
44,44,50,2024-02-03,SAS,,CLE,L 101-117,*,26:52,5,16,.313,2,4,.500,3,12,.250,.375,7,8,.875,4,10,14,3,2,2,3,0,19,17.7,10
45,45,51,2024-02-07,SAS,@,MIA,L 104-116,*,27:48,7,13,.538,3,5,.600,4,8,.500,.654,1,3,.333,0,13,13,3,1,1,3,1,18,15.2,-12
46,46,52,2024-02-08,SAS,@,ORL,L 111-127,*,22:32,6,12,.500,2,4,.500,4,8,.500,.583,1,1,1.000,0,1,1,2,1,3,5,1,15,8.4,-11
47,47,53,2024-02-10,SAS,@,BRK,L 103-123,*,29:02,7,16,.438,3,6,.500,4,10,.400,.531,4,4,1.000,0,4,4,3,0,1,4,2,21,11.8,-20
48,48,54,2024-02-12,SAS,@,TOR,W 122-99,*,28:59,10,14,.714,2,4,.500,8,10,.800,.786,5,6,.833,2,12,14,5,2,10,7,2,27,30.5,20
49,49,55,2024-02-14,SAS,@,DAL,L 93-116,*,27:12,10,21,.476,2,6,.333,8,15,.533,.524,4,5,.800,3,6,9,5,1,3,2,0,26,23.4,-9
50,50,56,2024-02-22,SAS,@,SAC,L 122-127,*,31:17,8,21,.381,1,6,.167,7,15,.467,.405,2,3,.667,5,8,13,4,5,5,1,1,19,22.9,0
51,51,57,2024-02-23,SAS,@,LAL,L 118-123,*,30:55,7,16,.438,3,8,.375,4,8,.500,.531,10,11,.909,1,9,10,8,5,5,2,3,27,32.5,0
52,52,58,2024-02-25,SAS,@,UTA,L 109-128,*,26:58,9,17,.529,1,3,.333,8,14,.571,.559,3,4,.750,2,8,10,2,1,5,4,1,22,18.6,-2
53,53,59,2024-02-27,SAS,@,MIN,L 105-114,*,34:15,5,13,.385,2,7,.286,3,6,.500,.462,5,5,1.000,1,12,13,5,2,4,5,5,17,15.5,2
54,54,60,2024-02-29,SAS,,OKC,W 132-118,*,32:22,9,17,.529,5,7,.714,4,10,.400,.676,5,7,.714,3,10,13,7,2,5,2,2,28,31.6,17
55,55,61,2024-03-03,SAS,,IND,W 117-105,*,31:24,11,17,.647,3,4,.750,8,13,.615,.735,6,7,.857,2,10,12,6,1,6,3,2,31,33.1,19
56,56,62,2024-03-05,SAS,@,HOU,L 101-114,*,30:30,4,10,.400,2,5,.400,2,5,.400,.500,0,0,,2,9,11,3,0,7,6,4,10,8.1,-12
56,,63,2024-03-07,SAS,@,SAC,L 129-131,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,64,2024-03-09,SAS,@,GSW,W 126-113,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
